OID_,CID,view_zenith_mean_1,view_azimuth_mean_1,sun_azimuth_1,sun_zenith_1,B2_1,B3_1,B4_1,B5_1,B6_1,B7_1,B8A_1,B11_1,B12_1,flagsbyfiveall_1,lcdetail_fine_1,lcselectedint,LAI_1,CWC_1,CAB_1
,2,1.8734938,241.3403320,49.0084991,28.1068001,0.0177000,0.0306000,0.0132000,0.0591000,0.2299000,0.2884000,0.3141000,0.1303000,0.0525000,1,1.0000000,1,2.1530800,0.0111200,24.1006603
,2,7.7528710,110.7956924,49.5735016,29.2201004,0.0272000,0.0474000,0.0310000,0.0726000,0.2641000,0.3384000,0.3796000,0.1473000,0.0613000,1,1.0000000,1,3.1339200,0.0077600,20.0917892
,2,2.4050038,315.4444885,48.5400009,28.2994003,0.0123000,0.0264000,0.0136000,0.0513000,0.1653000,0.2112000,0.2445000,0.1083000,0.0416000,1,1.0000000,1,2.4339399,0.0105400,23.3080502
,2,6.4745321,112.8828125,50.5877991,28.3881493,0.0212500,0.0456500,0.0252500,0.0812500,0.2631500,0.3334500,0.3753500,0.1528000,0.0612500,1,1.0000000,1,2.9766099,0.0079400,19.2880096
,2,3.4449472,123.3969269,51.2644997,27.5042000,0.0129000,0.0382000,0.0132000,0.0670000,0.2867000,0.3819000,0.3967000,0.1576000,0.0591000,1,1.0000000,1,3.2636800,0.0062000,20.7758293
,2,8.2064428,274.7403259,47.8436012,27.7140999,0.0158000,0.0174000,0.0099000,0.0387000,0.1021000,0.1530000,0.0000000,0.0660000,0.0244000,1,1.0000000,1,2.3754001,0.0150400,24.7106991
,2,8.1919909,92.1414413,49.6211014,29.2539997,0.0159000,0.0290000,0.0139000,0.0528000,0.2001000,0.2502000,0.2883000,0.1191000,0.0481000,1,1.0000000,1,2.6687200,0.0093600,22.9448204
,2,9.6572027,276.2453918,47.6983986,27.5545998,0.0240000,0.0405000,0.0166000,0.0660000,0.2622000,0.3380000,0.0000000,0.1342000,0.0524000,1,1.0000000,1,2.8549800,0.0083200,21.4648895
,2,2.6284628,312.4222107,49.8736000,27.4433994,0.0171000,0.0250000,0.0138000,0.0471000,0.1480000,0.1890000,0.2072000,0.0845000,0.0349000,1,1.0000000,1,2.1468501,0.0147600,24.5335007
,2,1.9731470,243.9328613,48.6571999,28.3050995,0.0147000,0.0336000,0.0132000,0.0590000,0.1892000,0.2338000,0.2586000,0.0876000,0.0318000,1,1.0000000,1,2.2459300,0.0134300,21.4588108
,2,7.5388365,111.0913010,49.6558990,29.1324005,0.0215000,0.0410000,0.0195000,0.0779000,0.2744000,0.3635000,0.3845000,0.1653000,0.0693000,1,1.0000000,1,3.1478500,0.0069000,19.7808800
,2,2.0081186,244.5599670,49.9046021,27.5382004,0.0161000,0.0326000,0.0126500,0.0596500,0.2191500,0.2938500,0.3225000,0.1330000,0.0486500,1,1.0000000,1,2.5359800,0.0088000,22.5403709
,2,3.4636941,305.0840454,48.3868027,28.1996002,0.0179000,0.0312000,0.0129000,0.0590500,0.2327000,0.2938000,0.3405000,0.1171000,0.0436500,1,1.0000000,1,3.0557599,0.0075600,20.9502106
,2,8.8035269,92.6833878,49.5867004,29.3754997,0.0201000,0.0394000,0.0225000,0.0778000,0.2118000,0.2486000,0.2806000,0.1170000,0.0494000,1,1.0000000,1,2.2827401,0.0127700,20.2352409
,2,9.0992489,275.7389221,48.9233017,26.8980007,0.0184000,0.0336000,0.0153000,0.0606000,0.2202000,0.2731000,0.3028000,0.1176000,0.0415000,1,1.0000000,1,2.7013099,0.0101500,21.0958099
,2,1.2692498,196.5751648,51.3525009,26.9503002,0.0192000,0.0363000,0.0138000,0.0659000,0.2592000,0.3181000,0.3414000,0.0752000,0.0264000,1,1.0000000,1,3.6242399,0.0113200,15.2347202
,2,3.3154111,124.0316925,48.8457985,28.9318008,0.0344000,0.0488000,0.0253000,0.0844000,0.2887000,0.3892000,0.4275000,0.1778000,0.0733000,1,1.0000000,1,3.0302801,0.0070400,20.0351696
,2,8.5923681,275.1908569,47.7905998,27.6812000,0.0191000,0.0306000,0.0143000,0.0531000,0.1995000,0.2325000,0.0000000,0.1201000,0.0472000,1,1.0000000,1,2.5845599,0.0093000,21.1527405
,2,2.6274223,312.4307556,48.8398018,28.0671997,0.0127000,0.0289000,0.0114000,0.0662000,0.2140000,0.2680000,0.3037000,0.1093000,0.0425000,1,1.0000000,1,2.9001100,0.0097100,18.7180500
,2,5.1727910,269.1197205,50.0537491,26.8964500,0.0251500,0.0428500,0.0216500,0.0839500,0.2617500,0.3082000,0.3588500,0.1518000,0.0615500,1,1.0000000,1,2.7116201,0.0084400,18.6075497
,2,5.3003674,269.4528503,50.2187996,26.7823009,0.0223000,0.0448000,0.0154000,0.0771000,0.2709000,0.3232000,0.3486000,0.0628000,0.0219000,1,1.0000000,1,3.7130301,0.0127200,12.9732304
,2,10.4808159,108.0716095,51.1927986,28.6807995,0.0117000,0.0353000,0.0140000,0.0763000,0.3345000,0.4264000,0.4553000,0.1649000,0.0623000,1,1.0000000,1,3.5901999,0.0059000,18.6668205
,2,2.1837723,248.0296021,49.4699020,27.7606506,0.0174000,0.0356000,0.0149500,0.0655000,0.2619000,0.3111000,0.3588500,0.1368500,0.0549000,1,1.0000000,1,3.4506600,0.0061400,17.8149509
,2,8.6287470,92.5259323,49.4579010,29.4295006,0.0247000,0.0461000,0.0306000,0.0862000,0.2473000,0.2956000,0.3403000,0.1531000,0.0673000,1,1.0000000,1,2.4293101,0.0102700,21.1423092
,2,3.2925737,306.0770874,50.6179008,26.9001999,0.0193000,0.0397000,0.0179000,0.0764000,0.2400000,0.2874000,0.3195000,0.0861000,0.0315000,1,1.0000000,1,3.1644499,0.0124100,14.6428404
,2,10.9466743,107.7050705,50.7944489,28.9925499,0.0272500,0.0662000,0.0315000,0.1146000,0.3579000,0.4235500,0.4650500,0.2033000,0.0870000,1,1.0000000,1,2.7440701,0.0075900,19.2363605
,2,1.4185941,220.5105133,51.4732018,26.8034000,0.0181000,0.0368000,0.0138000,0.0716000,0.2582000,0.3221000,0.3476000,0.0790000,0.0292000,1,1.0000000,1,3.7223101,0.0106400,14.2827797
